route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Magathane Depot,9,90,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Magathane Telecom Exchange,3,30,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Mahindra Company Gate Or B H A D Colony,12,120,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Novelty Silk Mill,31,155,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Omkareshwar Mandir,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Western Park,56,280,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Bandongri,10,150,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Borivali Station East,211,2110,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Dahisar Station Road East,36,360,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Daulat Nagar,22,220,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Dindoshi Bus Station,34,680,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,General Arun Kumar Vaidya Marg Junction,21,315,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Golden Chemicals,39,195,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Kashi Mira,4,20,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Ketaki Pada,54,270,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Kurar Village,9,135,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Magathane Depot,85,850,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Magathane Telecom Exchange,9,135,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Mahindra Company Gate Or B H A D Colony,16,240,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Novelty Silk Mill,252,1260.06,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Omkareshwar Mandir,6,60,,,,,,,,,,,,,,,,,,,,,,
7051,Western Park,Transport Corporation,12,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
date,day,direction,from_00_to_01,from_01_to_02,from_02_to_03,from_03_to_04,from_04_to_05,from_05_to_06,from_06_to_07,from_07_to_08,from_08_to_09,from_09_to_10,from_10_to_11,from_11_to_12,from_12_to_13,from_13_to_14,from_14_to_15,from_15_to_16,from_16_to_17,from_17_to_18,from_18_to_19,from_19_to_20,from_20_to_21,from_21_to_22,from_22_to_23,from_23_to_24
9/18/2023,MONDAY   ,DOWN,0,0,0,0,0,43,527,451,617,645,513,533,404,244,250,165,264,473,397,303,249,307,135,66
9/18/2023,MONDAY   ,UP,0,0,0,0,0,92,189,374,488,533,541,349,337,345,202,266,466,335,425,464,479,223,207,1
