route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,St Xaviers High School,16,160,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Transport Corporation,49,245,,,,,,,,,,,,,,,,,,,,,,
7051,Daulat Nagar,Western Park,90,900,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Bandongri,115,575,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Borivali Station East,217,2170.11,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Dahisar Station Road East,54,540,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Daulat Nagar,8,80,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Golden Chemicals,5,75,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Kashi Mira,22,330,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Ketaki Pada,1,15,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Kurar Village,25,125,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Magathane Depot,29,290,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Magathane Telecom Exchange,462,2310,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Mahindra Company Gate Or B H A D Colony,317,1585,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Novelty Silk Mill,6,90,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Omkareshwar Mandir,62,620,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,St Xaviers High School,22,330,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Transport Corporation,4,60,,,,,,,,,,,,,,,,,,,,,,
7051,Dindoshi Bus Station,Western Park,24,480,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Bandongri,63,315,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Borivali Station East,55,550,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Dahisar Station Road East,14,140,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Daulat Nagar,3,30,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Dindoshi Bus Station,3,15,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Golden Chemicals,3,45,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Kashi Mira,13,195,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Ketaki Pada,2,30,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Kurar Village,3,15,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Magathane Depot,23,230,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Magathane Telecom Exchange,122,610,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Mahindra Company Gate Or B H A D Colony,76,380.12,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Novelty Silk Mill,4,60,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Omkareshwar Mandir,21,210,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,St Xaviers High School,5,75,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Transport Corporation,2,30,,,,,,,,,,,,,,,,,,,,,,
7051,General Arun Kumar Vaidya Marg Junction,Western Park,19,285,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Bandongri,13,130.11,,,,,,,,,,,,,,,,,,,,,,
