route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7015,Golden Chemicals,Magathane Telecom Exchange,1,10,,,,,,,,,,,,,,,,,,,,,,
7015,Golden Chemicals,Mahindra Company Gate Or B H A D Colony,1,10,,,,,,,,,,,,,,,,,,,,,,
7015,Golden Chemicals,Mira Road Station East,296,1480,,,,,,,,,,,,,,,,,,,,,,
7015,Golden Chemicals,Novelty Silk Mill,11,55.06,,,,,,,,,,,,,,,,,,,,,,
7015,Golden Chemicals,Omkareshwar Mandir,2,20,,,,,,,,,,,,,,,,,,,,,,
7015,Golden Chemicals,Samata Nagar Bus Station Kandivali East,20,200,,,,,,,,,,,,,,,,,,,,,,
7015,Golden Chemicals,Srushti,4,20,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Borivali Station East,73,730,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Dahisar Station Road East,31,310,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Daulat Nagar,19,190,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Golden Chemicals,22,110,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Kashimira,26,130,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Ketaki Pada,77,385.06,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Magathane Depot,36,360,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Magathane Telecom Exchange,5,75,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Mahindra Company Gate Or B H A D Colony,11,165,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Novelty Silk Mill,130,650,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Omkareshwar Mandir,5,50,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Samata Nagar Bus Station Kandivali East,31,465,,,,,,,,,,,,,,,,,,,,,,
7015,Jammu And Kashmir Bank,Transport Corporation,19,95.06,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Borivali Station East,40,400,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Dahisar Station Road East,133,665,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Daulat Nagar,16,160,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Golden Chemicals,32,160,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Ketaki Pada,22,110.06,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Magathane Depot,9,90,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Magathane Telecom Exchange,4,40,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Mahindra Company Gate Or B H A D Colony,10,100,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Novelty Silk Mill,24,120.06,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Omkareshwar Mandir,2,20,,,,,,,,,,,,,,,,,,,,,,
7015,Kashimira,Samata Nagar Bus Station Kandivali East,7,105,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Apna Bazar,20,100,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Borivali Station East,60,300,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Dahisar Station Road East,7,35,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Daulat Nagar,5,25,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Golden Chemicals,15,75,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Jammu And Kashmir Bank,6,60,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Kashimira,3,30,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Magathane Depot,4,40,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Magathane Telecom Exchange,2,20,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Mahindra Company Gate Or B H A D Colony,1,10,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Mira Road Station East,113,565.06,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Omkareshwar Mandir,17,85,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Samata Nagar Bus Station Kandivali East,8,80,,,,,,,,,,,,,,,,,,,,,,
7015,Ketaki Pada,Srushti,15,75.06,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Apna Bazar,10,100,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Borivali Station East,56,280,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Dahisar Station Road East,52,260,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Daulat Nagar,13,65,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Golden Chemicals,7,70,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Jammu And Kashmir Bank,6,90,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Kashimira,1,15,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Ketaki Pada,1,10,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Mahindra Company Gate Or B H A D Colony,1,5,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Mira Road Station East,7,70,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Novelty Silk Mill,53,265,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Omkareshwar Mandir,1,5,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Samata Nagar Bus Station Kandivali East,33,165,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Depot,Srushti,11,110,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Apna Bazar,7,70,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Borivali Station East,68,340,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Dahisar Station Road East,29,145,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Daulat Nagar,3,15,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Golden Chemicals,3,30,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Kashimira,3,45,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Ketaki Pada,1,10,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Mira Road Station East,7,105,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Novelty Silk Mill,8,80,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Omkareshwar Mandir,2,10,,,,,,,,,,,,,,,,,,,,,,
7015,Magathane Telecom Exchange,Srushti,2,20,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Apna Bazar,9,135,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Borivali Station East,184,920,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Dahisar Station Road East,14,140,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Daulat Nagar,46,230,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Golden Chemicals,6,60,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Jammu And Kashmir Bank,5,75,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Kashimira,1,20,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Ketaki Pada,3,30,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Magathane Depot,3,15,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Magathane Telecom Exchange,2,10,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Mira Road Station East,15,225,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Novelty Silk Mill,8,80,,,,,,,,,,,,,,,,,,,,,,
