"BEST Undertaking
Route details: -  7006",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
DOWN,15,MULLA BAUG,,,37302,,19.239175,72.975548
DOWN,16,PATLI PADA,,,37387,,19.245724,72.975625
DOWN,17,DONGARI PADA,,,37105,,19.25082,72.973105
DOWN,18,WAGHBIL,,,37530,,19.25259,72.972287
DOWN,19,PANCHAMRUT,,,37377,,19.257008,72.970556
DOWN,20,VIJAY GARDEN,,,37522,,19.259303,72.969728
DOWN,21,MUCHHALA COLLEGE,,,37296,,19.262772,72.968235
DOWN,22,ANAND NAGAR,,,37023,,19.264479,72.96756
DOWN,23,SAINATH NAGAR,,,37445,,19.266855,72.966628
DOWN,24,KASARVADAVALI,,,37198,,19.269313,72.965401
DOWN,25,GARIB NAGAR,,,37126,,19.27196,72.963184
DOWN,26,OVALE VILLAGE,,,37370,,19.274191,72.96033
DOWN,27,OVALE VILLAGE,,,29300,,19.275799,72.958856
DOWN,28,POUSHMATA MANDIR,,,29316,,19.281002,72.955079
DOWN,29,BHAYANDAR PADA,,,29067,,19.28336,72.952329
DOWN,30,IMPERIAL SQUARE SOCIETY,,,29566,,19.2842,72.947696
DOWN,31,GAIMUKH,,,29136,,19.285084,72.936251
DOWN,32,COCACOLA COMPANY,,,29102,,19.280647,72.926643
DOWN,33,KAJUPADA,,,29201,,19.278605,72.922476
DOWN,34,CHENA BRIDGE,,,29098,,19.275803,72.916483
DOWN,35,VERSOVA BRIDGE,,,29454,,19.284707,72.903828
DOWN,36,JAIN MANDIR,,,29193,,19.285238,72.899603
DOWN,37,GHODBUNDER VILLAGE JUNCTION,,,29154,,19.286835,72.893276
DOWN,38,WESTERN HOTEL LAXMI BAUG,,,29464,,19.276129,72.889009
DOWN,39,KASHI VILLAGE,,,29205,,19.273923,72.885737
DOWN,40,KASHIMIRA,,,29207,,19.271528,72.882276
DOWN,41,TRANSPORT CORPORATION,,,29440,,19.269322,72.879109
DOWN,42,MIRA GAONTHAN,,,29473,,19.267063,72.877207
DOWN,43,MAHAVISHNU MANDIR,,,29236,,19.265246,72.875705
DOWN,44,GOLDEN CHEMICALS,,,29167,,19.262092,72.873614
DOWN,45,DAHISAR CHECK NAKA,,,29110,,19.257773,72.871885
DOWN,46,GARTAN PADA,,,29148,,19.25227,72.868245
DOWN,47,GANESH NAGAR,,,29142,,19.246505,72.865024
DOWN,48,GOKULANAND HOTEL,,,29163,,19.244878,72.864806
DOWN,49,JAI MAHAKALI MANDIR,,,29232,,19.241436,72.864285
DOWN,50,NENSEY COLONY,,,29273,,19.237669,72.863688
DOWN,51,SHREE KRISHNA NAGAR (BORIVALI),,,29405,,19.233134,72.863548
DOWN,52,OMKARESHWAR MANDIR,,,29299,,19.230622,72.862845
DOWN,53,BORIVALI STATION (E),,,29077,,19.228903,72.858966
