"BEST Undertaking
Route details: -  7006",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
DOWN,21,DAULAT NAGAR,,,29122,,19.236392,72.859237
DOWN,22,BORIVALI PHATAK (E),,,29073,,19.233808,72.858126
DOWN,23,BORIVALI STATION (E),,,29076,,19.231549,72.857681
DOWN,24,BORIVALI STATION (E),,,29078,,19.231261,72.858527
DOWN,25,OMKARESHWAR MANDIR,,,29295,,19.230053,72.863502
DOWN,26,DEVIPADA,,,29124,,19.224579,72.864475
DOWN,27,MAGATHANE DEPOT,,,29228,,19.220586,72.865771
DOWN,28,MAGATHANE TELEPHONE EXCHANGE,,,29254,,19.216106,72.867438
DOWN,29,DATTANI PARK,,,29115,,19.211653,72.868619
DOWN,30,"MAHINDRA COMPANY GATE ; B.H.A.
D. COLONY",,,29040,,19.205536,72.86557
DOWN,31,BANDONGRI,,,25033,,19.19911,72.861057
DOWN,32,PUSHPA PARK,,,25244,,19.187952,72.858582
DOWN,33,KURAR VILLAGE,,,25154,,19.184898,72.858641
DOWN,34,PATHANWADI,,,25225,,19.180914,72.858577
DOWN,35,GENERAL ARUN KUMAR VAIDYA MARG JUNCTION,,,25003,,19.174592,72.860577
DOWN,36,DINDOSHI BUS STATION,,,25062,,19.175461,72.864922
,,,,,,,,
"BEST Undertaking
Route details: -  7061",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7061,U7061,,,,
UP,0,MAROL DEPOT,,,10176,,19.117923,72.865183
UP,1,E.S.I.S HOSPITAL MIDC POLICE STATION,,,10208,,19.117925,72.867825
UP,2,GAUTAM NAGAR,,,10111,,19.118405,72.869764
UP,3,ORKAY MILL,,,33110,,19.121531,72.87057
UP,4,C-CROSS ROAD JUNCTION,,,33017,,19.12285,72.871235
UP,5,SEEPZ BUS STATION,,,33160,,19.127938,72.874901
UP,6,SEEPZ VILLAGE,,,33171,,19.129691,72.876211
UP,7,SARIPUT NAGAR,,,33149,,19.133313,72.874451
UP,8,KAMAL AMROHI STUDIO,,,33072,,19.134533,72.874336
UP,9,DURGA NAGAR,,,33033,,19.138118,72.872139
UP,10,GREEN FIELDS,,,33037,,19.139544,72.869296
UP,11,KALPATARU ESATE,,,33070,,19.139742,72.867509
UP,12,MAJAS DEPOT,,,33090,,19.139099,72.865047
UP,13,SHYAM NAGAR,,,33188,,19.138891,72.863641
UP,14,DATTA TEKDI ; SHIV TEKDI,,,33023,,19.139197,72.861635
UP,15,RAMWADI,,,33133,,19.140333,72.858535
UP,16,PRATAP NAGAR (MAJAS),,,33125,,19.140865,72.856786
UP,17,BALASAHEB THAKRE TRAUMA CENTRE ; S.R.P. CAMP,,,33136,,19.141831,72.854723
UP,18,BIMBISAR NAGAR,,,25041,,19.146394,72.855822
UP,19,MAHANANDA DAIRY,,,25169,,19.149574,72.856115
UP,20,VANRAI;MHADA COLONY,,,25341,,19.154001,72.856521
UP,21,VIRWANI ESTATE ; SARVODAYA NAGAR,,,25354,,19.171086,72.859001
UP,22,PATHANWADI,,,25225,,19.180896,72.858368
UP,23,KURAR VILLAGE,,,25157,,19.185865,72.858346
UP,24,PUSHPA PARK,,,25248,,19.188449,72.858306
UP,25,BANDONGRI,,,25037,,19.19986,72.860952
UP,26,"MAHINDRA COMPANY GATE ; B.H.A.
D. COLONY",,,29043,,19.20681,72.866283
UP,27,DATTANI PARK,,,29117,,19.211473,72.86841
UP,28,MAGATHANE TELEPHONE EXCHANGE,,,29255,,19.216097,72.867114
UP,29,MAGATHANE DEPOT,,,29230,,19.220433,72.865524
UP,30,DEVIPADA,,,29125,,19.225906,72.863695
UP,31,OMKARESHWAR MANDIR,,,29297,,19.230486,72.86315
UP,32,SHREE KRISHNA NAGAR (BORIVALI),,,29406,,19.233169,72.863177
UP,33,NENSEY COLONY,,,29275,,19.237804,72.86345
UP,34,JAI MAHAKALI MANDIR,,,29233,,19.241427,72.864019
UP,35,GOKUL ANAND HOTEL,,,29165,,19.243839,72.864388
UP,36,GANESH NAGAR GOKULANAND HOTEL,,,29143,,19.246197,72.864729
UP,37,GARTAN PADA,,,29149,,19.252261,72.867912
UP,38,DAHISAR CHECK NAKA,,,29111,,19.258568,72.871885
UP,39,GOLDEN CHEMICALS,,,29169,,19.262056,72.873338
UP,40,MAHAVISHNU ; SAMRAT HOTEL,,,29237,,19.26521,72.87542
UP,41,MIRA GAONTHAN,,,29472,,19.267388,72.877112
UP,42,TRANSPORT CORPORATION,,,29441,,19.269539,72.878728
UP,43,KASHIMIRA,,,29210,,19.272783,72.882446
UP,44,PUNJAB FOUNDRY,,,29304,,19.276008,72.881769
UP,45,GREEN LAWN ACADEMY,,,29172,,19.27869,72.878724
UP,46,HITCO,,,29180,,19.280252,72.876544
UP,47,SILVER PARK,,,29418,,19.282075,72.874041
UP,48,SUNDAR NAGAR,,,29434,,19.28398,72.871434
UP,49,S.K.STONE,,,29344,,19.285163,72.869654
UP,50,BEVERLY PARK,,,29052,,19.286851,72.867503
UP,51,SHIVAR GARDEN,,,29402,,19.288341,72.865495
UP,52,CHAITANYA HOSPITAL,,,29548,,19.290192,72.863667
UP,53,SHREENATH COMPLEX,,,29410,,19.2916,72.862163
UP,54,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29346,,19.293948,72.859907
UP,55,AZAD NAGAR,,,29038,,19.29662,72.857222
UP,56,BHAYANDAR PHATAK (POLICE CHOWKY),,,29056,,19.29886,72.854937
UP,57,KASTURI ESTATE,,,29213,,19.301119,72.8572
UP,58,ABHINAV SCHOOL,,,29004,,19.302619,72.857932
UP,59,GODDEV NAKA,,,29157,,19.304029,72.858854
UP,60,SHIRDI NAGAR ; RAM NAGAR,,,29394,,19.305973,72.861755
UP,61,NAVGHAR NAKA,,,29277,,19.307826,72.863181
UP,62,VENUS APARTMENTS,,,29453,,19.308809,72.860973
UP,63,SALSAR NAGAR,,,29359,,19.309305,72.859193
UP,64,BHAIDAYA NAGAR,,,29053,,19.310397,72.85768
UP,65,BHAYANDAR STATION (E),,,29063,,19.312319,72.853463
,,,7061,D7061,,,,
DOWN,0,BHAYANDAR STATION (E),,,29063,,19.312319,72.853463
DOWN,1,BHAYANDAR STATION (E),,,29062,,19.309943,72.853369
DOWN,2,BHAYANDAR MARKET,,,29246,,19.307812,72.855236
DOWN,3,KHARI GAON,,,29216,,19.305582,72.857759
DOWN,4,GODDEV NAKA,,,29156,,19.303848,72.858635
DOWN,5,ABHINAV SCHOOL,,,29003,,19.302881,72.858103
DOWN,6,KASTURI ESTATE,,,29212,,19.301237,72.857219
DOWN,7,BHAYANDAR PHATAK (POLICE CHOWKY),,,29055,,19.298814,72.855118
DOWN,8,AZAD NAGAR,,,29037,,19.296747,72.857231
DOWN,9,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29345,,19.294201,72.859811
DOWN,10,SHREENATH COMPLEX,,,29409,,19.29216,72.861829
DOWN,11,CHAITANYA HOSPITAL,,,29549,,19.290264,72.863848
DOWN,12,SHIVAR GARDEN,,,29401,,19.288467,72.865685
DOWN,13,BEVERLY PARK,,,29051,,19.287032,72.867531
DOWN,14,S.K.STONE,,,29343,,19.28547,72.869768
DOWN,15,SUNDAR NAGAR,,,29433,,19.284486,72.871129
DOWN,16,SILVER PARK,,,29417,,19.282184,72.874232
DOWN,17,HITCO,,,29179,,19.2799,72.877353
DOWN,18,GREEN LAWN ACADEMY,,,29171,,19.278735,72.878952
DOWN,19,PUNJAB FOUNDRY,,,29303,,19.276017,72.882036
DOWN,20,KASHIMIRA,,,29209,,19.273217,72.882532
DOWN,21,KASHIMIRA,,,29207,,19.271509,72.882238
DOWN,22,TRANSPORT CORPORATION,,,29440,,19.269376,72.879137
DOWN,23,MIRA GAONTHAN,,,29473,,19.267126,72.877245
DOWN,24,MAHAVISHNU MANDIR,,,29236,,19.26521,72.875781
DOWN,25,GOLDEN CHEMICALS,,,29167,,19.262137,72.873709
DOWN,26,DAHISAR CHECK NAKA,,,29110,,19.257873,72.871733
DOWN,27,GARTAN PADA,,,29148,,19.252306,72.868274
DOWN,28,GANESH NAGAR,,,29142,,19.246486,72.864976
DOWN,29,GOKULANAND HOTEL,,,29163,,19.244887,72.864758
DOWN,30,JAI MAHAKALI MANDIR,,,29232,,19.241454,72.864342
DOWN,31,NENSEY COLONY,,,29273,,19.237678,72.863735
DOWN,32,SHREE KRISHNA NAGAR (BORIVALI),,,29405,,19.233206,72.863472
DOWN,33,OMKARESHWAR MANDIR,,,29295,,19.2298,72.863616
DOWN,34,DEVIPADA,,,29124,,19.224606,72.864466
DOWN,35,MAGATHANE DEPOT,,,29228,,19.220614,72.865761
DOWN,36,MAGATHANE TELEPHONE EXCHANGE,,,29254,,19.216134,72.867428
DOWN,37,DATTANI PARK,,,29115,,19.211717,72.868619
DOWN,38,"MAHINDRA COMPANY GATE ; B.H.A.
D. COLONY",,,29045,,19.205563,72.86538
DOWN,39,BANDONGRI,,,25033,,19.199128,72.860962
DOWN,40,PUSHPA PARK,,,25244,,19.187807,72.858468
DOWN,41,KURAR VILLAGE,,,25155,,19.184691,72.858499
DOWN,42,PATHANWADI,,,25227,,19.178313,72.85855
DOWN,43,VIRWANI ESTATE ; SARVODAYA NAGAR,,,25352,,19.170562,72.859097
DOWN,44,VANRAI;MHADA COLONY,,,25342,,19.154579,72.857234
DOWN,45,MAHANANDA DAIRY,,,25168,,19.150532,72.856666
DOWN,46,BIMBISAR NAGAR,,,25040,,19.146295,72.856298
DOWN,47,BALASAHEB THAKRE TRAUMA CENTRE ; S.R.P. CAMP,,,33137,,19.142563,72.855416
DOWN,48,PRATAP NAGAR (MAJAS),,,33124,,19.140919,72.85633
DOWN,49,RAMWADI,,,33132,,19.140415,72.858488
DOWN,50,DATTA TEKDI ; SHIV TEKDI,,,33024,,19.139431,72.860874
DOWN,51,SHYAM NAGAR,,,33187,,19.138954,72.863717
DOWN,52,MAJAS DEPOT,,,33088,,19.139208,72.865275
DOWN,53,KALPATARU ESATE,,,33069,,19.139823,72.867737
DOWN,54,GREEN FIELDS,,,33038,,19.13967,72.869182
DOWN,55,DURGA NAGAR,,,33032,,19.138145,72.872205
DOWN,56,KAMAL AMROHI STUDIO,,,33071,,19.133729,72.874632
DOWN,57,SARIPUT NAGAR,,,33148,,19.132021,72.874794
DOWN,58,SEEPZ VILLAGE,,,33168,,19.129836,72.877323
DOWN,59,SEEPZ VILLAGE,,,33172,,19.129655,72.876316
DOWN,60,SEEPZ BUS STATION,,,33162,,19.124603,72.87265
DOWN,61,C-CROSS ROAD JUNCTION,,,33018,,19.123555,72.871899
DOWN,62,ORKAY MILL,,,33111,,19.121025,72.870608
DOWN,63,GAUTAM NAGAR,,,10112,,19.118603,72.870096
DOWN,64,E.S.I.S HOSPITAL MIDC POLICE STATION,,,10209,,19.117834,72.867882
DOWN,65,MAROL DEPOT,,,10177,,19.118194,72.865012
,,,,,,,,
"BEST Undertaking
Route details: -  7071",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7071,U7071,,,,
UP,0,GOREGAON OSHIWARA DEPOT,,,17066,,19.154448,72.835284
UP,1,SHASTRI NAGAR,,,17145,,19.16023,72.834899
UP,2,BANGUR NAGAR POLICE CHOWKY POST OFFICE,,,17117,,19.163979,72.834754
UP,3,BANGUR NAGAR,,,17014,,19.168867,72.835187
UP,4,INORBIT MALL,,,17073,,19.170285,72.835234
UP,5,VINAY INDUSTRY (SUBKUCH MARKET),,,38054,,19.174279,72.836733
UP,6,CHINCHOLI BUNDER ROAD,,,38058,,19.180368,72.83612
UP,7,MALAD DEPOT,,,38061,,19.184667,72.83567
UP,8,D MART SHOPPING CENTRE,,,38065,,19.186836,72.835621
UP,9,KACHPADA,,,38067,,19.1896,72.835295
UP,10,EVERSHINE NAGAR,,,38069,,19.192382,72.834513
UP,11,MITH CHOWKY ; KAVI.V.R.KANT CHOWK,,,38017,,19.195634,72.834986
UP,12,ORLEM CHURCH ; VALNAI VILLAGE,,,38019,,19.195564,72.837963
UP,13,ADARSH DAIRY,,,38025,,19.192451,72.8429
UP,14,CHOKSI HOSPITAL,,,38026,,19.19191,72.844802
UP,15,N.L.VIDYALAYA,,,28146,,19.192986,72.846969
UP,16,MILAP TALKIES,,,8151,,19.197214,72.84767
UP,17,BALBHARATI,,,8014,,19.200404,72.848771
UP,18,JAIN MANDIR,,,8086,,19.201967,72.849065
UP,19,KANDIVALI STATION ROAD (W),,,8116,,19.205879,72.849984
UP,20,DR.AMBEDKAR HOSPITAL ; PAREKH NAGAR,,,8186,,19.208463,72.850515
UP,21,KANDIVALI TELEPHONE EXCHANGE,,,8120,,19.211364,72.851588
UP,22,POISAR DEPOT,,,8194,,19.214516,72.850882
UP,23,SHASTRI NAGAR,,,8241,,19.218112,72.851612
UP,24,KORA KENDRA,,,8126,,19.220164,72.852448
UP,25,BORIVALI JAIL (W),,,34023,,19.224447,72.854271
UP,26,DHARAMSHI HALL,,,34065,,19.226118,72.854935
UP,27,BORIVALI STATION (W),,,34036,,19.229968,72.856398
UP,28,BORIVALI TELEPHONE EXCHANGE,,,34045,,19.231802,72.856244
UP,29,PAI NAGAR,,,34135,,19.234466,72.854987
UP,30,RAM MANDIR,,,34146,,19.238233,72.854766
UP,31,BHAGWATI HOSPITAL,,,34013,,19.240654,72.854517
UP,32,TECHNICAL SCHOOL,,,34185,,19.24293,72.853898
UP,33,MARY IMMACULATE SCHOOL,,,34122,,19.247899,72.85358
UP,34,NAVA GAON,,,34131,,19.251485,72.85373
UP,35,KANDAR PADA (DAHISAR BRIDGE),,,34101,,19.25472,72.854413
UP,36,DAHISAR BRIDGE,,,34052,,19.255182,72.857048
UP,37,DAHISAR MARKET,,,34056,,19.25595,72.858018
UP,38,SAVE NAGAR ; GAONDEVI MANDIR,,,29378,,19.255229,72.861014
UP,39,VIDYA MANDIR,,,29457,,19.254968,72.862631
UP,40,NOVELTY SILK MILL,,,29293,,19.254799,72.867064
UP,41,KETAKI PADA,,,29215,,19.255929,72.869232
UP,42,DAHISAR CHECK NAKA,,,29111,,19.258649,72.871771
UP,43,GOLDEN CHEMICALS,,,29169,,19.262047,72.8733
UP,44,MAHAVISHNU ; SAMRAT HOTEL,,,29237,,19.265219,72.875363
UP,45,MIRA GAONTHAN,,,29472,,19.26755,72.876998
UP,46,TRANSPORT CORPORATION,,,29441,,19.26962,72.878614
UP,47,KASHIMIRA,,,29210,,19.272801,72.882465
UP,48,PUNJAB FOUNDRY,,,29304,,19.275963,72.881703
UP,49,GREEN LAWN ACADEMY,,,29172,,19.278618,72.878619
UP,50,HITCO,,,29180,,19.280198,72.876468
UP,51,SILVER PARK,,,29418,,19.28203,72.874032
UP,52,SUNDAR NAGAR,,,29434,,19.283899,72.871396
UP,53,S.K.STONE,,,29344,,19.285181,72.869635
UP,54,BEVERLY PARK,,,29052,,19.286779,72.867484
UP,55,SHIVAR GARDEN,,,29402,,19.28825,72.865466
UP,56,CHAITANYA HOSPITAL,,,29548,,19.290138,72.863562
UP,57,SHREENATH COMPLEX,,,29410,,19.2916,72.862182
UP,58,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29346,,19.293848,72.859821
UP,59,AZAD NAGAR,,,29038,,19.296602,72.857212
UP,60,BHAYANDAR PHATAK (POLICE CHOWKY),,,29056,,19.298796,72.854937
UP,61,KASTURI ESTATE,,,29213,,19.301183,72.857219
UP,62,ABHINAV SCHOOL,,,29004,,19.302619,72.857913
UP,63,GODDEV NAKA,,,29157,,19.304183,72.85873
UP,64,SHIRDI NAGAR ; RAM NAGAR,,,29394,,19.306054,72.861536
UP,65,NAVGHAR NAKA,,,29277,,19.307817,72.863086
UP,66,VENUS APARTMENTS,,,29453,,19.308863,72.860916
UP,67,SALSAR NAGAR,,,29359,,19.309296,72.859184
UP,68,BHAIDAYA NAGAR,,,29053,,19.310397,72.857651
UP,69,BHAYANDAR STATION (E),,,29063,,19.312265,72.853435
,,,7071,D7071,,,,
DOWN,0,BHAYANDAR STATION (E),,,29062,,19.309762,72.853312
DOWN,1,BHAYANDAR MARKET,,,29246,,19.307731,72.855331
DOWN,2,KHARI GAON,,,29216,,19.30542,72.857854
DOWN,3,GODDEV NAKA,,,29156,,19.30402,72.858483
DOWN,4,ABHINAV SCHOOL,,,29003,,19.302954,72.857951
DOWN,5,BHAYANDAR PHATAK (POLICE CHOWKY),,,29055,,19.298796,72.855165
DOWN,6,AZAD NAGAR,,,29037,,19.296765,72.857279
DOWN,7,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29345,,19.294246,72.859887
DOWN,8,SHREENATH COMPLEX,,,29409,,19.292196,72.861934
DOWN,9,CHAITANYA HOSPITAL,,,29549,,19.2903,72.863867
DOWN,10,SHIVAR GARDEN,,,29401,,19.288431,72.865704
DOWN,11,BEVERLY PARK,,,29051,,19.287014,72.867512
DOWN,12,S.K.STONE,,,29343,,19.285434,72.869787
DOWN,13,SUNDAR NAGAR,,,29433,,19.284468,72.871186
DOWN,14,SILVER PARK,,,29417,,19.282166,72.874251
DOWN,15,HITCO,,,29179,,19.2799,72.877353
DOWN,16,GREEN LAWN ACADEMY,,,29171,,19.278753,72.878933
DOWN,17,PUNJAB FOUNDRY,,,29303,,19.276035,72.882045
DOWN,18,KASHIMIRA,,,29209,,19.273253,72.882598
DOWN,19,KASHIMIRA,,,29207,,19.271482,72.882219
DOWN,20,TRANSPORT CORPORATION,,,29440,,19.269331,72.879118
DOWN,21,MIRA GAONTHAN,,,29473,,19.266999,72.877246
DOWN,22,MAHAVISHNU MANDIR,,,29236,,19.265201,72.875696
DOWN,23,GOLDEN CHEMICALS,,,29167,,19.262119,72.873681
DOWN,24,DAHISAR CHECK NAKA,,,29110,,19.257764,72.871885
DOWN,25,KETAKI PADA,,,29214,,19.255748,72.869366
DOWN,26,NOVELTY SILK MILL,,,29291,,19.254364,72.864934
DOWN,27,VIDYA MANDIR,,,29456,,19.254851,72.862498
DOWN,28,SAVE NAGAR ; GAONDEVI MANDIR,,,29377,,19.255166,72.860796
DOWN,29,DAHISAR MARKET,,,34057,,19.255733,72.858113
DOWN,30,DAHISAR BRIDGE,,,34051,,19.254883,72.856534
DOWN,31,KANDAR PADA (DAHISAR BRIDGE),,,34100,,19.25472,72.85447
DOWN,32,NAVA GAON,,,34130,,19.251232,72.853816
DOWN,33,MARY IMMACULATE SCHOOL,,,34121,,19.247817,72.853885
DOWN,34,TECHNICAL SCHOOL,,,34184,,19.242948,72.85405
DOWN,35,BHAGWATI HOSPITAL,,,34231,,19.241051,72.854631
DOWN,36,RAM MANDIR,,,34145,,19.237203,72.855119
DOWN,37,PAI NAGAR,,,34134,,19.234448,72.855187
DOWN,38,BORIVALI STATION (W) BUS STATION,,,34021,,19.231612,72.856929
DOWN,39,BORIVALI STATION W (JAYA TALKIES),,,34044,,19.227817,72.855781
DOWN,40,BORIVALI JAIL (W),,,34022,,19.224049,72.854271
DOWN,41,KORA KENDRA,,,8125,,19.220028,72.852543
DOWN,42,SHASTRI NAGAR,,,8240,,19.217896,72.851679
DOWN,43,POISAR DEPOT,,,8191,,19.214182,72.85113
DOWN,44,KANDIVALI TELEPHONE EXCHANGE,,,8119,,19.211283,72.851797
DOWN,45,DR.AMBEDKAR HOSPITAL ; PAREKH NAGAR,,,8185,,19.208283,72.850667
DOWN,46,KANDIVALI STATION ROAD (W),,,8115,,19.205816,72.85008
DOWN,47,JAIN MANDIR,,,8085,,19.20213,72.849283
DOWN,48,BALBHARATI,,,8013,,19.200016,72.848771
DOWN,49,MILAP TALKIES,,,8150,,19.196203,72.847566
DOWN,50,N.L.VIDYALAYA,,,28145,,19.192787,72.84715
DOWN,51,CHOKSI HOSPITAL,,,38027,,19.1919,72.84445
DOWN,52,ORLEM CHURCH ; VALNAI VILLAGE,,,38023,,19.195283,72.837012
DOWN,53,MITH CHOWKY ; KAVI.V.R.KANT CHOWK,,,38071,,19.194568,72.833932
DOWN,54,EVERSHINE NAGAR,,,38070,,19.193565,72.834484
DOWN,55,KACHPADA,,,38068,,19.189573,72.835514
DOWN,56,D MART SHOPPING CENTRE,,,38066,,19.186131,72.835916
DOWN,57,MALAD DEPOT,,,38064,,19.182798,72.836052
DOWN,58,CHINCHOLI BUNDER ROAD,,,38060,,19.180314,72.836434
DOWN,59,VINAY INDUSTRY (SUBKUCH MARKET),,,38053,,19.175165,72.837246
DOWN,60,INORBIT MALL,,,17072,,19.172463,72.836316
DOWN,61,BANGUR NAGAR,,,17013,,19.168731,72.835349
DOWN,62,BANGUR NAGAR POLICE CHOWKY POST OFFICE,,,17116,,19.164313,72.835048
DOWN,63,SHASTRI NAGAR,,,17144,,19.16032,72.834994
DOWN,64,GOREGAON OSHIWARA DEPOT,,,17201,,19.154503,72.835531
,,,,,,,,
"BEST Undertaking
Route details: -  7091",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7091,U7091,,,,
UP,0,MAGATHANE DEPOT,,,29231,,19.221336,72.866122
UP,1,DEVIPADA,,,29125,,19.225915,72.863638
UP,2,OMKARESHWAR MANDIR,,,29296,,19.230486,72.86315
UP,3,BORIVALI STATION (E),,,29080,,19.231866,72.857699
UP,4,BORIVALI PHATAK (E),,,29074,,19.233844,72.858069
UP,5,DAULAT NAGAR,,,29123,,19.236447,72.85918
UP,6,AMBAWADI,,,29008,,19.241117,72.859634
UP,7,PARVAT NAGAR,,,29306,,19.243521,72.860013
UP,8,MANAV KALYAN KENDRA,,,29241,,19.245716,72.860849
UP,9,DAHISAR STATION ROAD (E),,,29114,,19.248635,72.862483
UP,10,RAJASHREE CINEMA,,,29323,,19.251102,72.863547
UP,11,DAHISAR POLICE STATION,,,29550,,19.253316,72.865163
UP,12,NOVELTY SILK MILL,,,29293,,19.254763,72.867036
UP,13,KETAKI PADA,,,29215,,19.255893,72.869232
UP,14,DAHISAR CHECK NAKA,,,29111,,19.258622,72.871733
UP,15,GOLDEN CHEMICALS,,,29169,,19.262011,72.873272
UP,16,MAHAVISHNU ; SAMRAT HOTEL,,,29237,,19.265219,72.875325
UP,17,MIRA GAONTHAN,,,29472,,19.267478,72.877046
UP,18,TRANSPORT CORPORATION,,,29441,,19.269584,72.878662
UP,19,KASHIMIRA,,,29210,,19.272756,72.88238
UP,20,PUNJAB FOUNDRY,,,29304,,19.275963,72.881674
UP,21,GREEN LAWN ACADEMY,,,29172,,19.2786,72.878695
UP,22,HITCO,,,29180,,19.280216,72.876554
UP,23,SILVER PARK,,,29418,,19.281994,72.874032
UP,24,SUNDAR NAGAR,,,29434,,19.283845,72.871434
UP,25,S.K.STONE,,,29344,,19.285136,72.869683
UP,26,BEVERLY PARK,,,29052,,19.286806,72.867484
UP,27,SHIVAR GARDEN,,,29402,,19.288259,72.865514
UP,28,CHAITANYA HOSPITAL,,,29548,,19.290101,72.863619
UP,29,SHREENATH COMPLEX,,,29410,,19.291573,72.86222
UP,30,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29346,,19.293885,72.85983
UP,31,AZAD NAGAR,,,29038,,19.296539,72.857222
UP,32,BHAYANDAR PHATAK (POLICE CHOWKY),,,29056,,19.298787,72.854908
UP,33,KASTURI ESTATE,,,29213,,19.301173,72.857076
UP,34,ABHINAV SCHOOL,,,29004,,19.302601,72.857779
UP,35,GODDEV NAKA,,,29157,,19.30411,72.858644
UP,36,SHIRDI NAGAR ; RAM NAGAR,,,29394,,19.305982,72.861498
UP,37,NAVGHAR NAKA,,,29277,,19.307789,72.863076
UP,38,VENUS APARTMENTS,,,29453,,19.308746,72.860906
UP,39,SALSAR NAGAR,,,29359,,19.309305,72.859241
UP,40,BHAIDAYA NAGAR,,,29053,,19.310343,72.857689
UP,41,BHAYANDAR STATION (E),,,29063,,19.312256,72.853473
,,,7091,D7091,,,,
DOWN,0,BHAYANDAR STATION (E),,,29063,,19.312256,72.853473
DOWN,1,BHAYANDAR STATION (E),,,29062,,19.309726,72.853255
DOWN,2,BHAYANDAR MARKET,,,29246,,19.307722,72.855255
DOWN,3,KHARI GAON,,,29216,,19.305438,72.857797
DOWN,4,GODDEV NAKA,,,29156,,19.303975,72.858568
DOWN,5,ABHINAV SCHOOL,,,29003,,19.302972,72.858027
DOWN,6,KASTURI ESTATE,,,29212,,19.301255,72.857267
DOWN,7,BHAYANDAR PHATAK (POLICE CHOWKY),,,29055,,19.298842,72.855118
DOWN,8,AZAD NAGAR,,,29037,,19.296792,72.857231
DOWN,9,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29345,,19.294291,72.859868
DOWN,10,SHREENATH COMPLEX,,,29409,,19.292233,72.861925
DOWN,11,CHAITANYA HOSPITAL,,,29549,,19.290318,72.863848
DOWN,12,SHIVAR GARDEN,,,29401,,19.288485,72.865656
DOWN,13,BEVERLY PARK,,,29051,,19.28705,72.867484
DOWN,14,S.K.STONE,,,29343,,19.285488,72.86972
DOWN,15,SUNDAR NAGAR,,,29433,,19.284504,72.871148
DOWN,16,SILVER PARK,,,29417,,19.282193,72.874203
DOWN,17,HITCO,,,29179,,19.279954,72.877277
DOWN,18,GREEN LAWN ACADEMY,,,29171,,19.278771,72.878885
DOWN,19,PUNJAB FOUNDRY,,,29303,,19.276053,72.882026
DOWN,20,KASHIMIRA,,,29209,,19.273271,72.88257
DOWN,21,KASHIMIRA,,,29207,,19.271528,72.882276
DOWN,22,TRANSPORT CORPORATION,,,29440,,19.269322,72.879109
DOWN,23,MIRA GAONTHAN,,,29473,,19.267063,72.877207
DOWN,24,MAHAVISHNU MANDIR,,,29236,,19.265246,72.875705
DOWN,25,GOLDEN CHEMICALS,,,29167,,19.262092,72.873614
DOWN,26,DAHISAR CHECK NAKA,,,29110,,19.257773,72.871885
DOWN,27,KETAKI PADA,,,29214,,19.255848,72.869356
DOWN,28,NOVELTY SILK MILL,,,29292,,19.253497,72.865476
DOWN,29,RAJASHREE CINEMA,,,29322,,19.250967,72.863671
DOWN,30,DAHISAR STATION ROAD (E),,,29113,,19.249412,72.863034
DOWN,31,MANAV KALYAN KENDRA,,,29240,,19.245716,72.861067
DOWN,32,PARVAT NAGAR,,,29305,,19.243168,72.860137
DOWN,33,AMBAWADI,,,29007,,19.240512,72.859653
DOWN,34,DAULAT NAGAR,,,29122,,19.236402,72.859266
DOWN,35,BORIVALI PHATAK (E),,,29073,,19.233781,72.858117
DOWN,36,BORIVALI STATION (E),,,29076,,19.231549,72.85769
DOWN,37,BORIVALI STATION (E),,,29078,,19.231279,72.858546
DOWN,38,OMKARESHWAR MANDIR,,,29520,,19.229881,72.863502
DOWN,39,DEVIPADA,,,29124,,19.224606,72.864466
DOWN,40,MAGATHANE DEPOT,,,29229,,19.221518,72.867815
,,,,,,,,
"BEST Undertaking
Route details: -  7101",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7101,U7101,,,,
UP,0,MAGATHANE DEPOT,,,29231,,19.221336,72.866122
UP,1,DEVIPADA,,,29125,,19.225915,72.863638
UP,2,OMKARESHWAR MANDIR,,,29296,,19.230486,72.86315
UP,3,BORIVALI STATION (E),,,29080,,19.231866,72.857699
UP,4,BORIVALI PHATAK (E),,,29074,,19.233844,72.858069
UP,5,DAULAT NAGAR,,,29123,,19.236447,72.85918
UP,6,AMBAWADI,,,29008,,19.241117,72.859634
UP,7,PARVAT NAGAR,,,29306,,19.243521,72.860013
UP,8,MANAV KALYAN KENDRA,,,29241,,19.245716,72.860849
UP,9,DAHISAR STATION ROAD (E),,,29114,,19.248635,72.862483
UP,10,RAJASHREE CINEMA,,,29323,,19.251102,72.863547
