,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,direction,from_stop_no,from_lat,from_long,to_lat,to_long,to_stop_no
63,7006,marathon chowk teen hath naka,cadbury junction thane,43,215,down,56,19.187546,72.964029,19.203952,72.968584,53
64,7006,nency colony,cadbury junction thane,5,100,up,9,19.237912,72.863431,19.203952,72.968584,53
65,7006,omkareshwar mandir,cadbury junction thane,5,100,up,7,19.231425,72.862322,19.203952,72.968584,53
66,7006,ovale village,cadbury junction thane,28,280,up,32,19.276025,72.959046,19.203952,72.968584,53
67,7006,patli pada,cadbury junction thane,39,195,up,43,19.246131,72.975986,19.203952,72.968584,53
68,7006,thane station east,cadbury junction thane,191,955,down,61,19.18517,72.97561,19.203952,72.968584,53
69,7006,transport corporation,cadbury junction thane,6,120,up,18,19.269584,72.878662,19.203952,72.968584,53
70,7006,versova bridge,cadbury junction thane,11,220,up,24,19.284969,72.904808,19.203952,72.968584,53
71,7006,waghbil,cadbury junction thane,12,120,up,41,19.252563,72.972696,19.203952,72.968584,53
72,7006,western hotel laxmi baug,cadbury junction thane,1,20,up,21,19.27639,72.888952,19.203952,72.968584,53
73,7006,anand nagar,chena bridge,12,120,down,37,19.264687,72.967836,19.275712,72.916131,25
74,7006,bhayandar pada,chena bridge,2,10,down,30,19.283685,72.952358,19.275712,72.916131,25
75,7006,borivali station east,chena bridge,19,285,up,5,19.227846,72.857949,19.275712,72.916131,25
76,7006,dnyansadhana college kopari,chena bridge,1,20,down,57,19.184195,72.96517,19.275712,72.916131,25
77,7006,gaimukh,chena bridge,2,10,down,28,19.2854,72.936384,19.275712,72.916131,25
78,7006,gartan pada,chena bridge,4,40,up,13,19.252261,72.867912,19.275712,72.916131,25
79,7006,golden chemicals,chena bridge,2,20,up,15,19.263041,72.873794,19.275712,72.916131,25
80,7006,jain mandir versova,chena bridge,1,5,up,23,19.285383,72.899832,19.275712,72.916131,25
81,7006,magathane depot,chena bridge,7,105,up,0,19.221336,72.866122,19.275712,72.916131,25
82,7006,marathon chowk teen hath naka,chena bridge,1,20,down,56,19.187546,72.964029,19.275712,72.916131,25
83,7006,omkareshwar mandir,chena bridge,6,60,up,7,19.231425,72.862322,19.275712,72.916131,25
84,7006,ovale village,chena bridge,2,20,down,32,19.276025,72.959046,19.275712,72.916131,25
85,7006,patli pada,chena bridge,1,10,down,43,19.246131,72.975986,19.275712,72.916131,25
86,7006,thane station east,chena bridge,2,40,down,61,19.18517,72.97561,19.275712,72.916131,25
87,7006,transport corporation,chena bridge,1,10,up,18,19.269584,72.878662,19.275712,72.916131,25
88,7006,versova bridge,chena bridge,3,15,up,24,19.284969,72.904808,19.275712,72.916131,25
89,7006,waghbil,chena bridge,1,10,down,41,19.252563,72.972696,19.275712,72.916131,25
90,7006,western hotel laxmi baug,chena bridge,1,5,up,21,19.27639,72.888952,19.275712,72.916131,25
91,7006,anand nagar,dnyansadhana college kopari,2,20,up,37,19.264687,72.967836,19.184195,72.96517,57
92,7006,cadbury junction thane,dnyansadhana college kopari,5,25,up,53,19.203952,72.968584,19.184195,72.96517,57
93,7006,gaimukh,dnyansadhana college kopari,1,15,up,28,19.2854,72.936384,19.184195,72.96517,57
94,7006,kapur bawdi,dnyansadhana college kopari,3,15,up,49,19.221197,72.977952,19.184195,72.96517,57
95,7006,majiwada,dnyansadhana college kopari,21,105,up,50,19.215632,72.97819,19.184195,72.96517,57
96,7006,manpada,dnyansadhana college kopari,20,200,up,46,19.235236,72.976318,19.184195,72.96517,57
97,7006,ovale village,dnyansadhana college kopari,3,45,up,32,19.276025,72.959046,19.184195,72.96517,57
98,7006,patli pada,dnyansadhana college kopari,9,90,up,43,19.246131,72.975986,19.184195,72.96517,57
99,7006,waghbil,dnyansadhana college kopari,5,50,up,41,19.252563,72.972696,19.184195,72.96517,57
100,7006,anand nagar,gaimukh,22,110,down,37,19.264687,72.967836,19.2854,72.936384,28
101,7006,borivali station east,gaimukh,8,120,up,5,19.227846,72.857949,19.2854,72.936384,28
102,7006,cadbury junction thane,gaimukh,1,15,down,53,19.203952,72.968584,19.2854,72.936384,28
103,7006,chena bridge,gaimukh,2,10,up,25,19.275712,72.916131,19.2854,72.936384,28
104,7006,gartan pada,gaimukh,1,15,up,13,19.252261,72.867912,19.2854,72.936384,28
105,7006,golden chemicals,gaimukh,2,20,up,15,19.263041,72.873794,19.2854,72.936384,28
106,7006,kapur bawdi,gaimukh,2,20,down,49,19.221197,72.977952,19.2854,72.936384,28
107,7006,louis wadi,gaimukh,1,15,down,55,19.195812,72.962565,19.2854,72.936384,28
108,7006,magathane depot,gaimukh,2,40,up,0,19.221336,72.866122,19.2854,72.936384,28
109,7006,majiwada,gaimukh,2,30,down,50,19.215632,72.97819,19.2854,72.936384,28
110,7006,manpada,gaimukh,4,40,down,46,19.235236,72.976318,19.2854,72.936384,28
111,7006,marathon chowk teen hath naka,gaimukh,1,15,down,56,19.187546,72.964029,19.2854,72.936384,28
112,7006,nency colony,gaimukh,1,15,up,9,19.237912,72.863431,19.2854,72.936384,28
113,7006,patli pada,gaimukh,1,10,down,43,19.246131,72.975986,19.2854,72.936384,28
114,7006,thane station east,gaimukh,4,80,down,61,19.18517,72.97561,19.2854,72.936384,28
115,7006,versova bridge,gaimukh,1,5,up,24,19.284969,72.904808,19.2854,72.936384,28
116,7006,waghbil,gaimukh,4,40,down,41,19.252563,72.972696,19.2854,72.936384,28
117,7006,anand nagar,gartan pada,25,500,down,37,19.264687,72.967836,19.252261,72.867912,13
