,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,stop-number,from_lat,from_long,to_lat,to_long
65,7015,golden chemicals,mahindra company gate or b h a d colony,1,10,29168,19.263041,72.873794,19.263041,72.873794
66,7015,golden chemicals,mira road station east,296,1480,29168,19.263041,72.873794,19.263041,72.873794
67,7015,golden chemicals,novelty silk mill,11,55.06,29168,19.263041,72.873794,19.263041,72.873794
68,7015,golden chemicals,omkareshwar mandir,2,20,29168,19.263041,72.873794,19.263041,72.873794
69,7015,golden chemicals,samata nagar bus station kandivali east,20,200,29168,19.263041,72.873794,19.263041,72.873794
70,7015,golden chemicals,srushti,4,20,29168,19.263041,72.873794,19.263041,72.873794
71,7015,ketaki pada,apna bazar,20,100,29215,19.255893,72.869232,19.255893,72.869232
72,7015,ketaki pada,borivali station east,60,300,29215,19.255893,72.869232,19.255893,72.869232
73,7015,ketaki pada,dahisar station road east,7,35,29215,19.255893,72.869232,19.255893,72.869232
74,7015,ketaki pada,daulat nagar,5,25,29215,19.255893,72.869232,19.255893,72.869232
75,7015,ketaki pada,golden chemicals,15,75,29215,19.255893,72.869232,19.255893,72.869232
76,7015,ketaki pada,jammu and kashmir bank or jangid circle,6,60,29215,19.255893,72.869232,19.255893,72.869232
77,7015,ketaki pada,kashi mira,3,30,29215,19.255893,72.869232,19.255893,72.869232
78,7015,ketaki pada,magathane depot,4,40,29215,19.255893,72.869232,19.255893,72.869232
79,7015,ketaki pada,magathane telecom exchange,2,20,29215,19.255893,72.869232,19.255893,72.869232
80,7015,ketaki pada,mahindra company gate or b h a d colony,1,10,29215,19.255893,72.869232,19.255893,72.869232
81,7015,ketaki pada,mira road station east,113,565.06,29215,19.255893,72.869232,19.255893,72.869232
82,7015,ketaki pada,omkareshwar mandir,17,85,29215,19.255893,72.869232,19.255893,72.869232
83,7015,ketaki pada,samata nagar bus station kandivali east,8,80,29215,19.255893,72.869232,19.255893,72.869232
84,7015,ketaki pada,srushti,15,75.06,29215,19.255893,72.869232,19.255893,72.869232
85,7015,magathane depot,apna bazar,10,100,29231,19.221336,72.866122,19.221336,72.866122
86,7015,magathane depot,borivali station east,56,280,29231,19.221336,72.866122,19.221336,72.866122
87,7015,magathane depot,dahisar station road east,52,260,29231,19.221336,72.866122,19.221336,72.866122
88,7015,magathane depot,daulat nagar,13,65,29231,19.221336,72.866122,19.221336,72.866122
89,7015,magathane depot,golden chemicals,7,70,29231,19.221336,72.866122,19.221336,72.866122
90,7015,magathane depot,jammu and kashmir bank or jangid circle,6,90,29231,19.221336,72.866122,19.221336,72.866122
